Cust Name,Sales,Profit,State
Rick Bensley,1.788,-3.0396,Illinois
Gary Zandusky,23.92,11.7208,Minnesota
Lena Cacioppo,238.896,-26.8758,Colorado
Lena Cacioppo,102.36,-3.8385,Colorado
Lena Cacioppo,36.882,-25.8174,Colorado
Janet Martin,74.112,17.6016,North Carolina
Janet Martin,27.992,2.0994,North Carolina
Janet Martin,3.304,1.0738,North Carolina
Pete Armstrong,339.96,67.992,Illinois
Cynthia Voltz,41.96,10.9096,New York
Clay Ludtke,75.96,22.788,Iowa
Clay Ludtke,27.24,13.3476,Iowa
Ryan Crowe,40.096,14.5348,Ohio
Ryan Crowe,4.72,1.652,Ohio
Ryan Crowe,23.976,7.4925,Ohio
Ryan Crowe,130.464,44.0316,Ohio
Dave Kipp,787.53,165.3813,Washington
Greg Guthrie,157.794,-115.7156,Tennessee
Steven Cartwright,47.04,18.3456,Delaware
Steven Cartwright,30.84,13.878,Delaware
Steven Cartwright,226.56,63.4368,Delaware
Steven Cartwright,115.02,51.759,Delaware
Steven Cartwright,68.04,19.7316,Delaware
Alan Dominguez,600.558,-8.5794,Texas
Philip Fox,617.7,-407.682,Illinois
Troy Staebel,2.388,-1.8308,Arizona
Troy Staebel,243.992,30.499,Arizona
Lindsay Shagiari,81.424,-9.1602,California
Lindsay Shagiari,238.56,26.2416,California
Dorothy Wardle,59.97,-11.994,Ohio
Dorothy Wardle,78.304,29.364,Ohio
Dorothy Wardle,21.456,6.9732,Ohio
Lena Creighton,20.04,9.6192,California
Lena Creighton,35.44,16.6568,California
Lena Creighton,11.52,3.456,California
Lena Creighton,4.02,1.9698,California
Lena Creighton,76.176,26.6616,California
Lena Creighton,65.88,18.4464,California
Lena Creighton,43.12,20.6976,California
Jonathan Doherty,82.8,10.35,Pennsylvania
Sally Hughsby,8.82,2.3814,California
Sally Hughsby,10.86,5.1042,California
Sally Hughsby,143.7,68.976,California
Sandra Glassco,839.43,218.2518,Missouri
Helen Andreada,671.93,20.1579,California
Maureen Gastineau,93.888,12.9096,Ohio
Justin Ellison,384.45,103.8015,Wisconsin
Justin Ellison,149.97,5.9988,Wisconsin
Justin Ellison,1951.84,585.552,Wisconsin
Justin Ellison,171.55,80.6285,Wisconsin
Tamara Willingham,157.92,17.766,Arizona
Tamara Willingham,203.184,15.2388,Arizona
Stephanie Phelps,58.38,26.271,California
Stephanie Phelps,105.52,48.5392,California
Stephanie Phelps,80.88,21.0288,California
Neil Knudson,6.63,1.7901,Washington
Dave Brooks,457.568,51.4764,Washington
Nora Paige,14.62,6.8714,Oklahoma
Nora Paige,944.93,236.2325,Oklahoma
Ted Trevino,5.98,2.691,California
Eric Murdock,54.384,1.3596,Pennsylvania
Ruben Dartt,28.4,13.348,New Mexico
Max Jones,27.68,9.688,Washington
Becky Martin,9.936,2.7324,Texas
Becky Martin,8159.952,-1359.992,Texas
Becky Martin,275.928,-58.6347,Texas
Becky Martin,1740.06,-24.858,Texas
Becky Martin,32.064,6.8136,Texas
Becky Martin,177.98,-453.849,Texas
Becky Martin,143.976,8.9985,Texas
Chad Sievert,20.94,9.8418,California
Chad Sievert,110.96,53.2608,California
Chad Sievert,340.144,21.259,California
Jennifer Braxton,52.448,-131.12,Illinois
Jennifer Braxton,20.16,6.552,Illinois
Shirley Jackson,97.264,-243.16,Texas
Joel Eaton,396.802,-11.3372,Ohio
Joel Eaton,15.88,-3.7715,Ohio
Jim Kriz,3.28,1.4104,New York
David Kendrick,24.816,1.8612,Illinois
David Kendrick,408.744,76.6395,Illinois
Robert Marley,503.96,131.0296,Louisiana
Robert Marley,149.95,41.986,Louisiana
Robert Marley,29,7.25,Louisiana
Sally Knutson,7.16,3.4368,Connecticut
Frank Merwin,176.8,22.984,California
Alice McCarthy,37.224,3.7224,Texas
Alice McCarthy,20.016,6.255,Texas
Mark Packer,899.136,112.392,New York
Mark Packer,71.76,20.0928,New York
Mark Packer,51.84,24.8832,New York
Mark Packer,626.352,46.9764,New York
Mark Packer,19.9,6.567,New York
Mary Zewe,14.28,6.7116,California
Cassandra Brandow,7.408,1.2038,Ohio
Cassandra Brandow,6.048,1.5876,Ohio
Valerie Mitchum,46.26,12.0276,New Jersey
Fred Hopkins,2.946,-2.2586,Pennsylvania
Fred Hopkins,16.056,5.8203,Pennsylvania
Maria Bertelson,21.744,6.795,Ohio
Bruce Stewart,218.75,-161.875,Colorado
Bruce Stewart,2.6,0.2925,Colorado
Logan Currie,66.284,-178.9668,Texas
Heather Kirkland,35.168,9.6712,Tennessee
Laurel Elliston,444.768,44.4768,California
Joseph Holt,83.92,5.8744,Michigan
Joseph Holt,131.98,35.6346,Michigan
Joseph Holt,15.92,7.4824,Michigan
Joseph Holt,52.29,16.2099,Michigan
Joseph Holt,91.99,3.6796,Michigan
Michael Stewart,20.8,6.5,Texas
Victoria Wilson,23.68,8.88,Ohio
Victoria Wilson,452.45,-244.323,Ohio
Victoria Wilson,62.982,-14.6958,Ohio
Victoria Wilson,1188,-950.4,Ohio
Victoria Wilson,89.584,4.4792,Ohio
Jonathan Howell,93.06,26.0568,California
Jonathan Howell,302.376,22.6782,California
Joni Blumstein,5.584,1.8148,Ohio
Joni Blumstein,22.704,8.2302,Ohio
Joni Blumstein,19.776,-13.8432,Ohio
Joni Blumstein,72.704,19.0848,Ohio
Joni Blumstein,479.988,-383.9904,Ohio
Joni Blumstein,27.168,2.7168,Ohio
David Smith,2.2,0.968,Michigan
David Smith,622.45,136.939,Michigan
David Smith,21.98,0.2198,Michigan
Valerie Dominguez,161.568,-28.2744,Tennessee
Valerie Dominguez,389.696,43.8408,Tennessee
Erin Ashbrook,18.648,-12.432,North Carolina
Christopher Schild,233.86,-102.048,Florida
Christopher Schild,620.6145,-248.2458,Florida
Christopher Schild,5.328,-3.552,Florida
Christopher Schild,258.072,0,Florida
Christopher Schild,617.976,-7.7247,Florida
David Bremer,10.56,4.752,California
Ken Lonsdale,25.92,9.396,Illinois
Ken Lonsdale,419.68,-356.728,Illinois
Ken Lonsdale,11.688,-4.6752,Illinois
Ken Lonsdale,31.984,11.1944,Illinois
Ken Lonsdale,177.225,-120.513,Illinois
Ken Lonsdale,4.044,-2.8308,Illinois
Ken Lonsdale,7.408,1.2038,Illinois
Dianna Wilson,2001.86,580.5394,Minnesota
Dianna Wilson,166.72,41.68,Minnesota
Dianna Wilson,47.88,23.94,Minnesota
Dianna Wilson,1503.25,496.0725,Minnesota
Dianna Wilson,25.92,12.4416,Minnesota
Logan Haushalter,321.568,28.1372,California
Kelly Collister,7.61,3.5767,California
Kelly Collister,3347.37,636.0003,California
Delfina Latchford,80.58,22.5624,New York
Delfina Latchford,361.92,162.864,New York
Dan Reichenbach,12.132,-8.4924,Illinois
Dan Reichenbach,82.368,-19.5624,Illinois
Dan Reichenbach,53.92,4.044,Illinois
Dan Reichenbach,647.904,56.6916,Illinois
Craig Carreira,20.37,6.9258,New York
Craig Carreira,221.55,6.6465,New York
Craig Carreira,17.52,6.132,New York
Dorris liebe,1.624,-4.466,Texas
Sean Braxton,3059.982,-509.997,Texas
Sean Braxton,2519.958,-251.9958,Texas
Roy Collins,328.224,28.7196,Illinois
Alan Hwang,79.9,35.156,California
Claudia Bergmann,14.016,4.7304,North Carolina
Paul Gonzalez,7.56,0.3024,New Jersey
Christine Abelman,37.208,-7.4416,Ohio
Christine Abelman,57.576,21.591,Ohio
Kristen Hastings,725.84,210.4936,California
Helen Andreada,209.93,92.3692,California
Helen Andreada,5.28,2.3232,California
Helen Andreada,10.92,4.095,California
Barry Blumstein,8.82,4.0572,California
Barry Blumstein,5.98,1.5548,California
Andrew Gjertsen,11.648,4.0768,Pennsylvania
Andrew Gjertsen,18.176,5.9072,Pennsylvania
Andrew Gjertsen,59.712,5.9712,Pennsylvania
Andrew Gjertsen,24.84,8.694,Pennsylvania
Steven Cartwright,2.08,-3.432,Texas
Steven Cartwright,1114.4,376.11,Texas
Jas O'Carroll,1038.84,51.942,California
Tracy Blumstein,141.76,47.844,Oregon
Tracy Blumstein,239.8,47.96,Oregon
Tracy Blumstein,31.104,10.8864,Oregon
Alan Haines,254.058,-169.372,Florida
Alan Haines,194.528,24.316,Florida
Alan Haines,961.48,-204.3145,Florida
Nick Zandusky,19.096,6.6836,Ohio
Nick Zandusky,18.496,6.2424,Ohio
Nick Zandusky,255.984,54.3966,Ohio
Nick Zandusky,86.97,-48.7032,Ohio
Kelly Lampkin,300.416,78.8592,Colorado
Kelly Lampkin,230.352,20.1558,Colorado
Kelly Lampkin,218.352,-24.5646,Colorado
Kelly Lampkin,78.6,-62.88,Colorado
Kelly Lampkin,27.552,9.2988,Colorado
Jonathan Doherty,32.4,15.552,New Jersey
Jonathan Doherty,1082.48,10.8248,New Jersey
Jonathan Doherty,56.91,27.3168,New Jersey
Jonathan Doherty,77.6,38.024,New Jersey
Jonathan Doherty,14.28,6.5688,New Jersey
Jonathan Howell,219.075,-131.445,Illinois
Alan Schoenberger,26.8,12.864,New York
Ken Brennan,9.84,2.8536,Michigan
Corey Roper,45.48,20.9208,New Jersey
Corey Roper,289.2,83.868,New Jersey
Shahid Hopkins,4.89,2.0049,Virginia
Ben Peterman,15.136,3.5948,Colorado
Ben Peterman,466.768,52.5114,Colorado
Ben Peterman,15.232,1.7136,Colorado
Ben Peterman,6.264,2.0358,Colorado
Thomas Seio,87.54,37.6422,New Jersey
Andy Gerbode,178.384,22.298,Florida
Andy Gerbode,15.552,5.4432,Florida
Sung Pak,99.136,8.6744,Pennsylvania
Nathan Mautz,135.882,24.1568,New York
Nathan Mautz,3991.98,1995.99,New York
Nathan Mautz,275.94,80.0226,New York
Nathan Mautz,360,129.6,New York
Nathan Mautz,43.57,13.071,New York
Frank Atkinson,7.16,3.58,California
Grace Kelly,251.52,81.744,California
Grace Kelly,99.99,34.9965,California
Don Jones,15.992,0.9995,Tennessee
Patrick O'Brill,290.898,-67.8762,Pennsylvania
Patrick O'Brill,54.224,3.389,Pennsylvania
Patrick O'Brill,786.744,-258.5016,Pennsylvania
Patrick O'Brill,100.24,33.831,Pennsylvania
Patrick O'Brill,37.764,-27.6936,Pennsylvania
John Lucas,82.8,-20.7,Pennsylvania
John Lucas,20.724,-13.816,Pennsylvania
John Lucas,4.896,-3.4272,Pennsylvania
Doug Bickford,4.752,1.6038,California
Doug Bickford,959.984,335.9944,California
Doug Bickford,14.368,4.49,California
Alyssa Crouse,7.712,2.7956,California
Alyssa Crouse,698.352,-17.4588,California
Ken Lonsdale,4.96,2.3312,Utah
Jonathan Doherty,17.856,1.116,Pennsylvania
Jonathan Doherty,509.97,-407.976,Pennsylvania
Jonathan Doherty,30.992,10.0724,Pennsylvania
Jonathan Doherty,71.928,8.3916,Pennsylvania
Chad Sievert,88.8,-2.22,Texas
Clay Cheatham,47.976,4.7976,California
Tamara Dahlen,7.56,3.0996,Massachusetts
Tamara Dahlen,24.56,11.5432,Massachusetts
Tamara Dahlen,12.96,4.1472,Massachusetts
Adam Bellavance,6.79,2.3086,New York
Adam Bellavance,24.56,11.5432,New York
Adam Bellavance,3.048,1.0668,New York
Adam Bellavance,49.12,23.0864,New York
Adam Bellavance,4355.168,1415.4296,New York
Jeremy Lonsdale,388.704,-4.8588,New York
Jeremy Lonsdale,8.26,3.7996,New York
Jeremy Lonsdale,17.04,6.9864,New York
Jeremy Lonsdale,34.4,15.824,New York
Heather Kirkland,36.24,11.325,North Carolina
Victoria Brennan,647.84,168.4384,Georgia
Victoria Brennan,20.7,9.936,Georgia
Katrina Willman,20.7,9.936,New York
Katrina Willman,488.646,86.8704,New York
Katrina Willman,5.56,1.4456,New York
Katrina Willman,47.12,20.7328,New York
Julia Dunbar,211.96,8.4784,California
Michael Kennedy,23.2,10.44,Connecticut
Michael Kennedy,7.36,0.1472,Connecticut
Michael Kennedy,104.79,29.3412,Connecticut
Michael Kennedy,1043.92,271.4192,Connecticut
Guy Thornton,25.92,9.396,Texas
Guy Thornton,53.424,4.6746,Texas
Arthur Gainer,8.16,-5.712,Arizona
Arthur Gainer,1023.936,179.1888,Arizona
Arthur Gainer,9.24,0.924,Arizona
Arthur Gainer,479.04,-29.94,Arizona
Muhammed MacIntyre,99.136,30.98,Illinois
Allen Rosenblatt,1488.424,-297.6848,Massachusetts
Russell Applegate,8.652,-20.3322,Texas
Russell Applegate,23.832,2.6811,Texas
Russell Applegate,12.176,-18.8728,Texas
Alejandro Savely,50.96,25.48,California
Alejandro Savely,49.536,17.3376,California
Laura Armstrong,41.9,8.799,Michigan
Denny Ordway,375.4575,-157.0095,Florida
Denny Ordway,83.976,-1.0497,Florida
Dean Katz,482.34,-337.638,Pennsylvania
Dean Katz,2.96,0.777,Pennsylvania
Nathan Gelder,2.624,0.4264,Ohio
Mike Vittorini,23.36,7.884,New York
Mike Vittorini,39.98,13.5932,New York
Jack Garza,246.384,27.7182,Washington
Jack Garza,1799.97,701.9883,Washington
Bart Pistole,12.462,-20.5623,Illinois
Victor Preis,75.792,25.5798,Nevada
Saphhira Shifley,49.96,9.4924,Rhode Island
Saphhira Shifley,12.96,6.2208,Rhode Island
Harold Pawlan,70.12,21.036,Michigan
Anna Gayman,35.952,3.5952,Texas
Anna Gayman,2396.2656,-317.1528,Texas
Anna Gayman,131.136,-32.784,Texas
Anna Gayman,57.584,0.7198,Texas
Luke Foster,9.568,3.4684,Florida
Stephanie Phelps,39.072,9.768,North Carolina
Roy Französisch,35.91,9.6957,New York
Keith Herrera,179.95,37.7895,California
Keith Herrera,1199.976,434.9913,California
Keith Herrera,27.15,13.3035,California
Keith Herrera,1004.024,-112.9527,California
Keith Herrera,9.68,4.6464,California
Keith Herrera,28.35,13.608,California
Keith Herrera,55.98,27.4302,California
Keith Herrera,1336.829,31.4548,California
Keith Herrera,113.568,-18.4548,California
Kimberly Carter,139.86,65.7342,Washington
Kimberly Carter,307.136,26.8744,Washington
Caroline Jumper,95.92,25.8984,California
Philip Brown,383.8,38.38,California
Victoria Brennan,5.78,2.8322,Kentucky
Sung Pak,9.32,2.7028,California
Sung Pak,15.25,7.015,California
Joel Eaton,196.752,56.5662,Colorado
Michael Paige,56.56,14.7056,Massachusetts
Michael Paige,32.7,8.502,Massachusetts
Natalie Fritzler,866.4,225.264,Mississippi
Janet Molinari,28.4,11.076,Michigan
Janet Molinari,287.92,138.2016,Michigan
Shirley Daniels,69.99,30.0957,New York
Ken Heidel,6.672,0.5004,Texas
Ross Baird,189.588,-145.3508,North Carolina
Ross Baird,408.744,76.6395,North Carolina
Ross Baird,291.96,54.7425,North Carolina
Ross Baird,4.768,-0.7748,North Carolina
Dave Brooks,714.3,207.147,Massachusetts
Mike Kennedy,4.812,-3.6892,Florida
Mike Kennedy,247.8,-18.585,Florida
Philisse Overcash,1007.979,43.1991,Illinois
Philisse Overcash,313.488,113.6394,Illinois
Brenda Bowman,31.872,11.5536,Texas
Cynthia Voltz,207.846,2.3094,New York
Pete Kriz,12.22,3.666,Michigan
Pete Kriz,194.94,23.3928,Michigan
Pete Kriz,70.95,20.5755,Michigan
Pete Kriz,91.36,42.0256,Michigan
Pete Kriz,242.94,29.1528,Michigan
Pete Kriz,22.05,10.584,Michigan
Troy Blackwell,2.91,1.3677,Indiana
Raymond Buch,59.52,15.4752,New York
Raymond Buch,161.94,9.7164,New York
Raymond Buch,263.88,71.2476,New York
Raymond Buch,30.48,7.9248,New York
Raymond Buch,9.84,2.8536,New York
Raymond Buch,35.12,9.1312,New York
Ed Braxton,284.364,-75.8304,Ohio
Ed Braxton,665.408,66.5408,Ohio
Ken Heidel,63.88,24.9132,Oklahoma
Sanjit Chand,129.568,-24.294,California
Natalie Fritzler,747.558,-96.1146,Illinois
Natalie Fritzler,8.928,3.348,Illinois
Joseph Holt,103.92,36.372,Washington
Joseph Holt,899.91,377.9622,Washington
Joseph Holt,51.312,18.6006,Washington
Tanja Norvell,23.56,7.068,Arizona
Tanja Norvell,1272.63,-814.4832,Arizona
Tanja Norvell,28.485,-20.889,Arizona
Tanja Norvell,185.376,-34.758,Arizona
Tanja Norvell,78.272,5.8704,Arizona
Joni Sundaresam,254.744,-312.0614,Illinois
David Smith,205.3328,-36.2352,Texas
Craig Carreira,4.788,-7.9002,Illinois
Maya Herman,55.48,26.6304,New York
Jeremy Pistek,340.92,3.4092,California
Jeremy Pistek,222.666,10.4784,California
Jeremy Pistek,703.968,87.996,California
Jeremy Pistek,92.52,24.9804,California
Jeremy Pistek,62.65,28.819,California
Jeremy Pistek,94.85,45.528,California
Kristen Hastings,95.76,7.182,California
Jeremy Ellison,40.2,19.296,New York
John Grady,14.7,6.615,New York
John Grady,704.25,84.51,New York
Xylona Preis,9.09,1.9089,California
Erin Mull,5.96,1.6688,New York
Erin Mull,159.98,57.5928,New York
Michelle Tran,29.6,14.8,California
Michelle Tran,514.165,-30.245,California
Michelle Tran,279.96,17.4975,California
Sue Ann Reed,2735.952,341.994,Illinois
Carl Weiss,7.992,0.5994,Texas
Carl Weiss,63.984,10.3974,Texas
Carl Weiss,70.368,6.1572,Texas
Astrea Jones,449.15,8.983,New York
Astrea Jones,11.07,5.0922,New York
Sonia Sunley,93.98,13.1572,Washington
Rose O'Brian,189.882,-94.941,Tennessee
Maribeth Dona,105.42,51.6558,Arkansas
Sanjit Chand,119.616,40.3704,California
Sanjit Chand,255.76,81.8432,California
Sanjit Chand,241.568,18.1176,California
Sanjit Chand,69.3,22.869,California
Maribeth Yedwab,22.62,-15.08,Colorado
Maribeth Yedwab,14.952,-11.9616,Colorado
Maribeth Yedwab,801.568,50.098,Colorado
Maribeth Yedwab,2.376,-1.9008,Colorado
Maribeth Yedwab,32.792,11.8871,Colorado
Ed Braxton,15.92,5.373,New York
Christopher Martinez,2.74,0.7398,Georgia
Christopher Martinez,8.34,2.1684,Georgia
Christopher Martinez,46.74,11.685,Georgia
Christopher Martinez,6354.95,3177.475,Georgia
Lynn Smith,126.3,40.416,Missouri
Lynn Smith,38.04,12.1728,Missouri
Luke Foster,7.152,0.7152,Ohio
Bradley Nguyen,6.63,1.7901,California
Bradley Nguyen,5.88,1.7052,California
Alan Dominguez,2999.95,1379.977,Montana
Alan Dominguez,51.45,13.8915,Montana
Alan Dominguez,11.96,5.382,Montana
Alan Dominguez,1126.02,56.301,Montana
Dean Braden,18.392,5.2877,Texas
Dean Braden,129.568,-25.9136,Texas
Dean Braden,14.112,-21.168,Texas
Matt Connell,210.98,21.098,Michigan
Logan Haushalter,55.176,-12.4146,California
Logan Haushalter,66.26,27.1666,California
Brian Dahlen,22.2,10.434,Massachusetts
Patricia Hirasaki,683.952,42.747,Florida
Patricia Hirasaki,45.696,5.1408,Florida
Mike Gockenbach,36.336,-7.2672,Pennsylvania
Mike Gockenbach,666.248,-149.9058,Pennsylvania
Mike Gockenbach,52.512,19.692,Pennsylvania
Karen Bern,190.72,11.92,California
Jasper Cacioppo,47.94,2.397,California
Rob Lucas,979.95,274.386,Alabama
Rob Lucas,22.75,11.375,Alabama
Allen Armold,16.768,1.4672,Arizona
Emily Phan,42.616,-68.1856,Illinois
Mark Packer,10.752,3.36,New York
Darren Koutras,152.94,41.2938,Kentucky
Darren Koutras,283.92,70.98,Kentucky
Bradley Drucker,468.9,206.316,Wisconsin
Erin Smith,380.864,38.0864,Arizona
Liz MacKendrick,646.776,-145.5246,Ohio
Paul Gonzalez,58.112,7.264,Texas
Paul Gonzalez,100.792,6.2995,Texas
Paul Gonzalez,66.112,-84.2928,Texas
Adrian Shami,41.28,13.932,New York
Adrian Shami,13.36,6.4128,New York
Dean Katz,250.272,15.642,Illinois
Dean Katz,11.364,-17.046,Illinois
Dean Katz,8.72,-1.744,Illinois
Bill Donatelli,1121.568,0,California
Ryan Crowe,34.504,6.0382,Florida
Greg Tran,10.824,2.5707,Texas
Dean Katz,1295.78,310.9872,California
Ashley Jarboe,19.456,3.4048,North Carolina
Olvera Toch,20.7,9.936,California
Olvera Toch,1335.68,-217.048,California
Olvera Toch,32.4,15.552,California
Liz Pelletier,42.6,16.614,California
Liz Pelletier,84.056,27.3182,California
Cynthia Arntzen,13,1.3,Florida
Cynthia Arntzen,13.128,3.7743,Florida
Jeremy Farry,3.96,0,Washington
Jeremy Farry,2.61,1.2006,Washington
Frank Preis,374.376,46.797,California
Ellis Ballard,91.84,45.0016,Washington
Ellis Ballard,81.088,27.3672,Washington
Ellis Ballard,19.44,9.3312,Washington
Ellis Ballard,451.152,0,Washington
Jennifer Ferguson,72.45,34.776,New York
Jennifer Ferguson,13.96,6.4216,New York
Jennifer Ferguson,33.264,11.2266,New York
Jennifer Ferguson,14.85,4.0095,New York
Sarah Foster,8.82,2.3814,Washington
Trudy Glocke,160.72,78.7528,California
Trudy Glocke,19.92,9.7608,California
Trudy Glocke,7.3,2.19,California
Carlos Soltero,69.712,8.714,Illinois
Carlos Soltero,8.792,-5.7148,Illinois
Charles Crestani,51.52,1.5456,California
Dianna Vittorini,470.376,52.9173,Colorado
Dianna Vittorini,105.584,9.2386,Colorado
Dianna Vittorini,31.152,3.5046,Colorado
Dianna Vittorini,6.783,-4.7481,Colorado
Dianna Vittorini,406.368,30.4776,Colorado
Bruce Degenhardt,70.98,4.9686,Kentucky
Bruce Degenhardt,294.93,144.5157,Kentucky
Zuschuss Carroll,84.784,-20.1362,Oregon
Zuschuss Carroll,20.736,7.2576,Oregon
Zuschuss Carroll,16.821,-12.8961,Oregon
Zuschuss Carroll,10.368,3.6288,Oregon
Melanie Seite,9.344,1.168,Texas
Melanie Seite,31.2,9.75,Texas
Lena Radford,76.12,22.0748,California
Lena Radford,1199.976,434.9913,California
Lena Radford,445.96,55.745,California
Lena Radford,327.76,91.7728,California
Theone Pippenger,11.632,1.0178,Pennsylvania
Chloris Kastensmidt,143.982,-28.7964,Pennsylvania
Chloris Kastensmidt,494.376,-115.3544,Pennsylvania
Chloris Kastensmidt,5.84,0.73,Pennsylvania
Alan Shonely,142.776,17.847,Florida
Alan Shonely,45.696,5.1408,Florida
Alan Shonely,7.218,-5.5338,Florida
Alan Shonely,43.188,-31.6712,Florida
Alan Shonely,131.904,47.8152,Florida
Andrew Roberts,3.282,-2.6256,Pennsylvania
Andrew Roberts,21.168,2.3814,Pennsylvania
Andrew Roberts,55.188,-10.1178,Pennsylvania
Nona Balk,369.576,41.5773,Texas
Nona Balk,15.712,5.6956,Texas
Giulietta Dortch,8.448,2.64,Pennsylvania
Giulietta Dortch,728.946,-157.9383,Pennsylvania
Clytie Kelty,119.94,15.992,Ohio
Clytie Kelty,3.648,-2.7968,Ohio
Nat Gilpin,40.48,15.7872,New York
Nat Gilpin,9.94,3.0814,New York
Nat Gilpin,107.424,33.57,New York
Nat Gilpin,37.91,10.9939,New York
Nat Gilpin,88.02,27.2862,New York
Christina Anderson,8.69,-14.773,Illinois
Sylvia Foulston,301.96,87.5684,Michigan
Sylvia Foulston,555.21,178.901,Michigan
Sylvia Foulston,523.48,130.87,Michigan
Sylvia Foulston,161.82,46.9278,Michigan
Meg O'Connel,35.56,12.0904,New York
Annie Thurman,97.16,28.1764,Washington
Logan Currie,15.24,5.1435,California
Logan Currie,13.23,6.0858,California
Fred McMath,243.384,-51.7191,Colorado
Fred McMath,119.8,29.95,Colorado
Fred McMath,300.768,30.0768,Colorado
Brian Dahlen,17.88,2.4585,Florida
Brian Dahlen,235.944,85.5297,Florida
